timestamp,cpu_percent,memory_percent,memory_gb,disk_read_mb,disk_write_mb,power_kw,carbon_kg_per_5min,carbon_kg_per_hour
2026-01-09T17:18:24.636445,0.0,46.5,0.41506195068359375,4071.39208984375,6620.228515625,0.0036,0.0001245,0.0014939999999999999
2026-01-09T17:23:25.640387,0.0,45.6,0.40708160400390625,4071.65380859375,6621.185546875,0.0036,0.0001245,0.0014939999999999999
2026-01-09T17:28:26.643001,0.0,45.6,0.4072914123535156,4071.65380859375,6621.544921875,0.0036,0.0001245,0.0014939999999999999
2026-01-09T17:33:27.645420,0.0,45.6,0.407501220703125,4071.65380859375,6622.107421875,0.0036,0.0001245,0.0014939999999999999
2026-01-09T17:38:28.647948,0.0,45.6,0.40747833251953125,4071.65380859375,6622.439453125,0.0036,0.0001245,0.0014939999999999999
2026-01-09T17:43:29.650479,0.0,45.6,0.40746307373046875,4071.65380859375,6622.810546875,0.0036,0.0001245,0.0014939999999999999
2026-01-09T17:48:30.652892,0.0,45.6,0.4074516296386719,4071.65380859375,6623.119140625,0.0036,0.0001245,0.0014939999999999999
2026-01-09T17:53:31.655657,0.0,45.6,0.40743255615234375,4071.65380859375,6623.478515625,0.0036,0.0001245,0.0014939999999999999
2026-01-09T17:58:32.658194,0.0,45.7,0.4079780578613281,4071.78662109375,6624.623046875,0.0036,0.0001245,0.0014939999999999999
2026-01-09T18:03:33.660789,0.0,45.7,0.407928466796875,4071.78662109375,6625.419921875,0.0036,0.0001245,0.0014939999999999999
2026-01-09T18:08:34.663707,0.0,45.7,0.4079170227050781,4071.78662109375,6625.740234375,0.0036,0.0001245,0.0014939999999999999
2026-01-09T18:13:35.666598,0.0,45.7,0.40814971923828125,4071.78662109375,6626.107421875,0.0036,0.0001245,0.0014939999999999999
2026-01-09T18:18:36.669027,0.0,44.9,0.4006538391113281,4071.78662109375,6626.962890625,0.0036,0.0001245,0.0014939999999999999
2026-01-09T18:23:37.671719,0.0,44.9,0.4008598327636719,4071.78662109375,6627.564453125,0.0036,0.0001245,0.0014939999999999999
2026-01-09T18:28:38.674475,0.0,44.9,0.4008445739746094,4071.78662109375,6627.908203125,0.0036,0.0001245,0.0014939999999999999
2026-01-09T18:33:39.676910,0.0,44.9,0.4008369445800781,4071.78662109375,6628.240234375,0.0036,0.0001245,0.0014939999999999999
2026-01-09T18:38:40.679608,0.0,44.9,0.4008331298828125,4071.78662109375,6628.564453125,0.0036,0.0001245,0.0014939999999999999
2026-01-09T18:43:41.682486,0.0,44.9,0.4008064270019531,4071.78662109375,6628.974609375,0.0036,0.0001245,0.0014939999999999999
2026-01-09T18:48:42.685007,0.5,44.9,0.400787353515625,4071.78662109375,6629.669921875,0.003642,0.00012595249999999998,0.0015114299999999998
